"","initial_value"
"DRD4",0.37
"DRD5",0.42
"DRD5P1",0.1
"DRG2",0.65
"ARID3A",0.34
"DRP2",0.42
"ATN1",0.72
"DSC1",0.42
"DSC2",0.87
"DSC3",0.7
"DSCAM",0.67
"RCAN1",0.81
"DSG1",0.39
"DSG2",0.71
"DSG3",0.75
"TSC22D3",0.77
"DSP",0.78
"EPYC",0.38
"DSPP",0.3
"SLC26A2",0.85
"DTNA",0.82
"DTNB",0.56
"HBEGF",0.87
"DTX1",0.59
"DTYMK",0.69
"ECM2",0.63
"DUSP1",0.84
"DUSP2",0.59
"DUSP3",0.74
"DUSP4",0.7
"DUSP5",0.85
"DUSP6",0.79
"DUSP7",0.62
"DUSP8",0.67
"DUSP9",0.55
"DUT",0.85
"DVL1",0.58
"DVL2",0.56
"DVL3",0.79
"DYRK1A",0.64
"TOR1A",0.72
"E2F1",0.78
"E2F2",0.78
"E2F3",0.69
"E2F4",0.7
"E2F5",0.74
"E2F6",0.56
"E4F1",0.47
"EBF1",0.77
"GPR183",0.42
"ECE1",0.59
"TYMP",0.55
"ECH1",0.58
"ECHS1",0.77
"ECM1",0.72
"ECT2",0.82
"EDA",0.55
"S1PR1",0.7
"LPAR1",0.77
"S1PR3",0.68
"EDN1",0.85
"EDN2",0.48
"EDN3",0.67
"EDNRA",0.78
"EDNRB",0.67
"PHC1",0.69
"PHC2",0.76
"EEF1A1",0.91
"EEF1A2",0.36
"EEF1B2",0.93
"EEF1D",0.75
"EEF1G",0.82
"EEF2",0.84
"EIF2D",0.62
"EFNA1",0.76
"EFNA2",0.25
"EFNA3",0.37
"EFNA4",0.43
"EFNA5",0.47
"EFNB1",0.53
"EFNB2",0.86
"EFNB3",0.68
"EGF",0.46
"CELSR3",0.67
"CELSR2",0.66
"MEGF6",0.52
"MEGF8",0.73
"MEGF9",0.54
"EGFR",0.78
"EGR1",0.83
"EGR2",0.62
"EGR3",0.58
"EGR4",0.6
"EHHADH",0.51
"EIF1AX",0.74
"EIF2S1",0.82
"EIF2B1",0.58
"EIF2S3",0.83
"EPHA2",0.81
"EIF4A1",0.8
"EIF4A2",0.74
"EIF4B",0.74
"EIF4E",0.74
"EIF4EBP1",0.87
"EIF4EBP2",0.65
"EIF4G1",0.75
"EIF4G2",0.84
"EIF5",0.85
"EIF5A",0.55
"CELA1",0.47
"ELANE",0.3
"SERPINB1",0.84
"ELAVL2",0.63
"ELAVL1",0.72
"ELAVL3",0.47
"ELAVL4",0.42
"ELF1",0.75
"ELF2",0.64
"ELF3",0.81
"ELF4",0.74
"ELF5",0.45
"ELK1",0.64
"ELK3",0.75
"ELK4",0.64
"ELN",0.66
"EML1",0.64
"EMD",0.53
"MARK2",0.53
"EMP1",0.78
"EMP2",0.88
"EMP3",0.83
"ADGRE1",0.49
"EMX1",0.4
"CTTN",0.79
"EMX2",0.46
"EN1",0.44
"EN2",0.45
"ENDOG",0.69
"ENG",0.7
"ENO1",0.82
"ENO1P1",0.19
"ENO2",0.72
"ENO3",0.68
"ENPEP",0.55
"ENSA",0.81
"SLC29A1",0.77
"EP300",0.53
"EPAS1",0.83
"EPB41",0.78
"EPB41L1",0.68
"EPB41L2",0.77
"EPB42",0.42
"DMTN",0.53
"STOM",0.79
"EPHA1",0.78
"EPHA3",0.62
"EPHA4",0.78
"EPHA5",0.6
"EPHA7",0.41
"EPHA8",0.46
"EPHB1",0.78
"EPHB2",0.7
"EPHB3",0.72
"EPHB4",0.72
"EPHB6",0.75
"EPHX1",0.77
"EPHX2",0.52
"STX2",0.58
"CLN8",0.83
"EPO",0.51
"EPOR",0.67
"EPRS",0.87
"EPS8",0.78
"EPS15",0.73
"NR2F6",0.67
"ERBB2",0.73
"ERBB3",0.77
"ERBB4",0.71
"ERCC1",0.81
"ERCC2",0.4
"EREG",0.63
"EYA4",0.58
"ERCC3",0.67
"ERCC4",0.8
"ERCC5",0.6
"ERCC6",0.45
"ERF",0.6
"ERG",0.65
"ERH",0.88
"ERN1",0.4
"ERV3-1",0.31
"FBL",0.77
"ESD",0.74
"ESR1",0.75
"ESR2",0.62
"ESRRA",0.73
"ESRRB",0.38
"ESRRG",0.64
"ETF1",0.72
"ETFA",0.82
"ETFB",0.73
"ETFDH",0.64
"ETS1",0.61
"ETS2",0.84
"ETV1",0.69
"ETV2",0.33
"ETV3",0.32
"ETV4",0.58
"ETV5",0.75
"ETV6",0.73
"EVC",0.61
"MECOM",0.79
"EVI2A",0.71
"EVI2B",0.44
"EVPL",0.44
"EVX1",0.36
"EWSR1",0.83
"EXT1",0.75
"EXT2",0.69
"EXTL1",0.34
"EXTL2",0.66
"EXTL3",0.54
"EYA1",0.42
"EYA2",0.52
"EYA3",0.74
"EZH1",0.83
"EZH2",0.89
"F2",0.46
"F2R",0.74
"F2RL1",0.63
"F2RL2",0.68
"F3",0.71
"F5",0.71
"F7",0.35
"F8",0.73
"F9",0.52
"F10",0.38
"F11",0.46
"F12",0.73
"F13A1",0.72
"F13B",0.32
"FAAH",0.44
"FABP4",0.76
"FABP1",0.63
"FABP2",0.27
"FABP3",0.49
"FABP5",0.81
"FABP6",0.54
"FABP7",0.66
"FANCA",0.82
"FANCC",0.54
"FANCD2",0.68
"FANCE",0.6
"ACSL1",0.8
"ACSL3",0.67
"ACSL4",0.47
"FAH",0.72
"PTK2B",0.61
"BPTF",0.76
"FANCB",0.6
"FANCF",0.62
"FANCG",0.81
"FAP",0.66
"FBLN1",0.77
"FARSA",0.62
"FASN",0.64
"FAT1",0.46
"FAT2",0.53
"FAU",0.98
"FBLN2",0.72
"FBN1",0.69
"FBN2",0.7
"EFEMP1",0.86
"FBP1",0.54
"FCAR",0.36
"FCER1A",0.53
"MS4A2",0.47
"FCER1G",0.63
"FCER2",0.38
"FCGR1A",0.44
"FCGR1B",0.27
"FCGR2A",0.54
"FCGR2B",0.42
"FCGR3A",0.41
"FCGR3B",0.61
"FCGRT",0.74
"FKTN",0.49
"FCN1",0.53
"FCN2",0.29
"FDFT1",0.89
"FDPS",0.83
"FDX1",0.74
"FDXR",0.65
"FECH",0.67
"FEN1",0.91
"GPC4",0.71
"FER",0.57
"FES",0.33
"FGA",0.73
"FGB",0.56
"FGD1",0.51
"FGF1",0.86
"FGF2",0.76
"FGF3",0.37
"FGF4",0.38
"FGF5",0.58
"FGF6",0.42
"FGF7",0.46
"FGF8",0.29
"FGF9",0.49
"FGF10",0.53
"FGF11",0.62
"FGF12",0.45
"FGF13",0.54
"FGF14",0.52
"FGFR1",0.87
"FGFR3",0.71
"GPC5",0.55
"FGFR2",0.73
"FGFR4",0.69
"FGG",0.73
"FGL1",0.66
"FGR",0.46
"FH",0.83
"FHIT",0.46
"FHL1",0.77
"FHL2",0.75
"FHL3",0.43
"FIGF",0.59
"FKBP1A",0.65
"FKBP1B",0.71
"FKBP1AP3",0.11
"FKBP2",0.58
"FKBP3",0.72
"FKBP4",0.77
"FKBP5",0.87
"FOXG1",0.54
"FOXF1",0.62
"FOXF2",0.63
"FOXC1",0.77
"FOXD1",0.64
"FOXD4",0.25
"FOXI1",0.57
"FOXL1",0.66
"FOXE3",0.35
"FOXJ1",0.37
"FOXC2",0.38
"FOXE1",0.43
"FOXM1",0.86
"FOXD2",0.39
"FOXS1",0.37
"FOXO1",0.71
"FOXO3",0.81
"FOXO3B",0.27
"FLG",0.34
"FLI1",0.71
"FLII",0.76
"MLANA",0.51
"FLNA",0.79
"FLNB",0.87
"FLNC",0.73
"FLOT2",0.71
"FLT1",0.61
"FLT3",0.46
"FLT3LG",0.68
"FLT4",0.57
"FMO1",0.37
"FMO2",0.79
"FMO3",0.45
"FMO4",0.68
"FMO5",0.63
"FMOD",0.71
"FMR1",0.67
"AFF2",0.52
"FN1",0.8
"FNTA",0.9
"FNTB",0.81
"FOLH1",0.66
"FOLR1",0.64
"FOLR2",0.66
"FOLR3",0.35
"FOS",0.84
"FOSB",0.64
"FOSL2",0.86
"FPGS",0.74
"FPR1",0.59
"FPR2",0.41
"FPR3",0.51
"FRA1F",0.1
"FRA1G",0.1
"FRA1H",0.1
"FRA1I",0.1
"FRA1J",0.1
"FRA1K",0.1
"FRA2B",0.1
"FRA2F",0.1
"FRA2G",0.1
"FRA2H",0.1
"FRA2I",0.1
"FRA2K",0.1
"FRA3C",0.1
"FRA5B",0.1
"FXN",0.57
"FRA5C",0.1
"FRA5D",0.1
"FRA5F",0.1
"FRA5G",0.1
"FRA6A",0.1
"FRA6B",0.1
"FRA6C",0.1
"FRA7B",0.1
"FRA7C",0.1
"FRA7D",0.1
"FRA8A",0.1
"FRA8B",0.1
"FRA8C",0.1
"FRA8D",0.1
"FRA8E",0.1
"FRA9A",0.1
"FRA9B",0.1
"FRA9C",0.1
"FRA9D",0.1
"FRA9E",0.1
"FRA9F",0.1
"FRA10F",0.1
"FRA11A",0.1
"FRA11F",0.1
"FRK",0.47
"FRA11G",0.1
"FRA11H",0.1
"FRA12A",0.1
"FRA12B",0.1
"FRA12C",0.1
"FRA12D",0.1
"FRA12E",0.1
"FRA15A",0.1
"FRA16D",0.1
"FRA17B",0.1
"FRA18A",0.1
"FRA18B",0.1
"FRA22A",0.1
"FRA22B",0.1
"MTOR",0.56
"FRAXA",0.1
"FRAXB",0.1
"FRAXC",0.1
"FRAXD",0.1
"FRAXE",0.1
"FRG1",0.65
"FRZB",0.79
"FSHB",0.49
"CENPI",0.53
"FSHR",0.31
"NR5A2",0.51
"FTH1",0.82
"FTH1P3",0.15
"FTH1P7",0.1
"FTH1P8",0.12
"FTH1P5",0.47
"FTL",0.79
"ADAM2",0.4
"NR5A1",0.36
"FUCA1",0.81
"FUCA2",0.82
"GAST",0.42
"FUS",0.74
"FUT1",0.52
"FUT2",0.47
"FUT3",0.65
"FUT4",0.61
"FUT5",0.37
"FUT6",0.61
"FUT7",0.37
"FUT8",0.65
"KDSR",0.87
"ACKR1",0.6
"FYB",0.7
"FYN",0.86
"FZD2",0.55
"IFI6",0.65
"G6PC",0.36
"G6PD",0.66
"SLC37A4",0.73
"GAGE1",0.41
"XRCC6",0.78
"GAA",0.74
"GAB1",0.77
"GABBR1",0.75
"GABPA",0.72
"GABPB1",0.38
"GABRA1",0.52
"GABRA2",0.44
"GABRA3",0.38
"GABRA4",0.65
"GABRA5",0.56
"GABRA6",0.37
"GABRB1",0.34
"GABRB2",0.56
"GABRB3",0.83
"GABRD",0.55
"GABRE",0.76
"GABRG1",0.65
"GABRG2",0.38
"GABRG3",0.47
"GABRP",0.58
"GABRR1",0.26
"GABRR2",0.28
"GAD1",0.57
"GAD2",0.51
"GAGE2C",0.46
"GAGE3",0.3
"GAGE4",0.39
"GAGE5",0.41
"GAGE6",0.52
"GAGE7",0.26
"GAK",0.54
"GALC",0.65
"GALE",0.66
"B4GALNT1",0.63
"GALK1",0.67
"GALK2",0.55
"GALR1",0.32
"GALNS",0.67
"GALNT1",0.76
"GALNT2",0.74
"GALNT3",0.64
"GALT",0.71
"GAMT",0.7
"GANC",0.33
"GAP43",0.55
"GAPDH",0.82
"LRRC32",0.8
"GAPDHP1",0.11
"GARS",0.8
"GART",0.85
"GAS1",0.79
"GAS2",0.45
"GAS6",0.84
"GAS8",0.57
"GATA1",0.44
"GATA2",0.8
"GATA3",0.78
"GATA4",0.59
"GATA6",0.79
"GATM",0.79
"GBA",0.61
"GBAP1",0.49
"GBAS",0.63
"GBE1",0.79
"GBP1",0.8
"GBP2",0.66
"GBP3",0.76
"GBX1",0.19
"GBX2",0.41
"GC",0.41
"GCDH",0.7
"GCG",0.3
"GCGR",0.34
"GCH1",0.85
"GCHFR",0.63
"GCK",0.36
"GCKR",0.38
"BLOC1S1",0.77
"KAT2A",0.64
"NR6A1",0.56
"GCNT1",0.62
"GCNT2",0.77
"OPN1MW",0.28
"GCSH",0.72
"GDF1",0.36
"GDF2",0.24
"MSTN",0.2
"GDF9",0.31
"GDF10",0.57
"GDI1",0.62
"GDI2",0.89
"GDI2P1",0.1
"GDNF",0.23
"GEM",0.83
"GFAP",0.8
"GFER",0.68
"GFI1",0.4
"GFPT1",0.81
"GFRA1",0.51
"GFRA2",0.56
"GFRA3",0.58
"GGCX",0.7
"GGT1",0.58
"GGT3P",0.15
"GGTA1P",0.54
"B4GALT1",0.71
"GGT7",0.54
"GGT5",0.41
"GH1",0.46
"GH2",0.46
"GHR",0.75
"GHRH",0.26
"GHRHR",0.4
"GHSR",0.48
"GIF",0.24
"GIP",0.36
"GIPR",0.32
"GJA1",0.68
"GJA3",0.56
"GJA4",0.53
"GJA5",0.73
"GJA8",0.26
"GJB1",0.47
"GJB2",0.72
"GJB3",0.69
"GJB5",0.48
"GK",0.53
"GK2",0.41
"GK3P",0.41
"GLA",0.66
"GPC3",0.61
"GLB1",0.66
"GCLC",0.73
"GCLM",0.81
"GLDC",0.7
"GLE1",0.79
"GLG1",0.73
"GLI1",0.39
"GLI2",0.66
"GLI3",0.85
"GLI4",0.55
"GLO1",0.86
"GLP1R",0.62
"GLRA1",0.25
"GLRA2",0.41
"GLRB",0.76
"GLS",0.84
"GLRX",0.83
"GLUD1",0.72
"GLUD2",0.7
"GLUD1P5",0.15
"GLUL",0.76
"GM2A",0.81
"GMDS",0.73
"GMFB",0.68
"GML",0.39
"GMPR",0.68
"GNA11",0.82
"GNA12",0.84
"GNA15",0.57
"GNAI1",0.81
"GNAI2",0.58
"GNAI3",0.84
"GNAL",0.4
"GNAO1",0.61
"GNAQ",0.81
"GNAS",0.75
"GNAT1",0.41
"GNAT2",0.45
"GNAZ",0.52
"GNB1",0.77
"GNB2",0.55
"GNB3",0.34
"GNG3",0.4
"GNG4",0.68
"GNG5",0.62
"GNG7",0.55
"GNG10",0.62
"GNG11",0.66
"GNGT1",0.28
"GNGT2",0.51
"GNL1",0.59
"GNRH1",0.56
"GNRH2",0.38
"GNRHR",0.32
"GNS",0.64
"GOLGA1",0.65
"GOLGA2",0.79
"GOLGA3",0.79
"GOLGA4",0.75
"GOLGB1",0.67
"GOT1",0.75
"GOT2",0.78
"SFN",0.78
"GP1BA",0.59
"GP1BB",0.42
"GP2",0.53
"GP5",0.4
"GP9",0.33
"GPC1",0.6
"GPD1",0.49
"GPD2",0.81
"GPI",0.75
"GPLD1",0.7
"GPM6A",0.7
"GPM6B",0.62
"GPR1",0.29
"CCR10",0.31
"GPR3",0.41
"GPR4",0.45
"XCR1",0.3
"GPR6",0.38
"NPBWR1",0.54
"NPBWR2",0.24
"CXCR3",0.39
"PRLHR",0.46
"GPR12",0.58
"UTS2R",0.49
"GPR15",0.31
"GPR17",0.52
"GPR18",0.38
"GPR19",0.49
"GPR20",0.35
"GPR21",0.25
"GPR22",0.35
"LPAR4",0.31
"MCHR1",0.46
"GPR25",0.21
"GPR26",0.52
"GPR27",0.26
"GPER1",0.48
"GPR31",0.33
"GPR32",0.21
"GPR33",0.1
"GPR34",0.6
"GPR35",0.27
"GPR37",0.4
"MLNR",0.43
"GPR39",0.65
"FFAR1",0.54
"FFAR3",0.36
"GPR42",0.23
"FFAR2",0.28
"GRK4",0.67
"GRK5",0.75
"GRK6",0.75
"MKNK2",0.84
"GPS1",0.66
"GPS2",0.57
"GPT",0.5
"GPX1",0.65
"GPX2",0.73
"GPX3",0.78
"GPX4",0.67
"GPX5",0.32
"GPX7",0.49
"GPX1P2",0.12
"GRB2",0.83
"GRB7",0.75
"GRB10",0.82
"GRB14",0.55
"RAPGEF1",0.79
"GRIA1",0.43
"GRIA2",0.46
"GRIA3",0.62
"GRIA4",0.49
"GRID1",0.68
"GRID2",0.27
"GRN",0.79
"GRIK1",0.48
"GRIK2",0.56
"GRIK3",0.62
"GRIK4",0.52
"GRIK5",0.5
"GRIN1",0.38
"GRIN2A",0.7
"GRIN2B",0.53
"GRIN2C",0.44
"GRIN2D",0.63
"GRINA",0.55
"NR3C1",0.77
"ARHGAP35",0.74
"GRM1",0.34
"GRM2",0.62
"GRM3",0.36
"GRM4",0.38
"GRM5",0.48
"GRM6",0.34
"GRM7",0.61
"GRM8",0.48
"CXCL1",0.8
"CXCL2",0.86
"CXCL3",0.73
"GRP",0.42
"PDIA3",0.8
"GRPR",0.45
"GRSF1",0.78
"GSC2",0.28
"GSK3A",0.54
"GSK3B",0.76
"GSN",0.79
"GSPT1",0.87
"GSR",0.7
"GSS",0.81
"GSTA1",0.54
"GSTA2",0.47
"GSTA3",0.43
"GSTA4",0.86
"GSTM1",0.6
"GSTM2",0.62
"GSTM3",0.8
"GSTM4",0.7
"GSTM5",0.6
"GSTP1",0.8
"GSTT1",0.5
"GSTT2",0.45
"GSTZ1",0.74
"MSH6",0.79
"GTF2A1",0.76
"GTF2A2",0.8
"GTF2B",0.8
"GTF2E1",0.6
"GTF2E2",0.56
"GTF2F1",0.56
"GTF2F2",0.52
"GTF2H1",0.75
"GTF2H2",0.73
"GTF2H3",0.49
"GTF2H4",0.55
"GTF2I",0.65
"GTF2IP1",0.37
"GTF3A",0.85
"BRF1",0.38
"GUCY1B2",0.2
"GTF3C1",0.77
"GTF3C2",0.58
"GUCY1A2",0.35
"GUCA1A",0.54
"GUCA1B",0.56
"GUCA2A",0.36
"GUCA2B",0.43
"GUCY1A3",0.75
"GUCY1B3",0.66
"GUCY2C",0.41
"GUCY2F",0.43
"GUK1",0.86
"GULOP",0.11
"GUSB",0.7
"GYG1",0.69
"GYPA",0.42
"GYPB",0.4
"GYPC",0.61
"GYPE",0.26
"GYS1",0.72
"GYS2",0.5
"GZMH",0.29
"GUCY2D",0.65
"GZMA",0.28
"GZMB",0.42
"GZMK",0.42
"GZMM",0.27
"H1F0",0.71
"HIST1H1C",0.71
"HIST1H1D",0.53
"HIST1H1E",0.28
"HIST1H1B",0.3
"HIST1H1T",0.36
"HIST1H2AE",0.54
"HIST1H2AD",0.54
"H2AFX",0.87
"H2AFZ",0.9
"HIST1H2BD",0.74
"HIST1H2BB",0.25
"H3F3A",0.73
"H3F3B",0.67
"HIST1H1A",0.4
"HABP2",0.39
"HSD17B10",0.79
"HAGH",0.63
"HADHA",0.79
"HADHAP1",0.28
"HADHB",0.68
"HADH",0.74
"HAL",0.62
"HARS",0.67
"HAS1",0.29
"HAS2",0.63
"HAS3",0.66
"HBA1",0.49
"HBA2",0.41
"HBAP1",0.28
"HBM",0.5
"HBB",0.61
"HBBP1",0.48
"HBD",0.43
"HBE1",0.43
"HBG1",0.46
"HBG2",0.52
"HBQ1",0.37
"HBZ",0.39
"HCCS",0.75
"SERPIND1",0.54
"HCFC1",0.78
"HCK",0.52
"HCLS1",0.65
"HCRT",0.36
"HCRTR1",0.45
"HCRTR2",0.39
"HTT",0.68
"HDAC1",0.73
"HDAC2",0.85
"HDC",0.43
"HDGF",0.83
"HDLBP",0.82
"HELLS",0.89
"NCKAP1L",0.46
"HEXA",0.64
"HEXB",0.75
"CFH",0.66
"HFE",0.63
"CFHR1",0.68
"CFHR2",0.52
"HGD",0.58
"HGF",0.6
"HGFAC",0.29
"NRG1",0.54
"HHEX",0.72
"HIC1",0.78
"HIF1A",0.83
"HIP1",0.82
"UBE2K",0.91
"HINT1",0.92
"HIVEP1",0.49
"HIVEP2",0.76
"HK1",0.69
"HK2",0.64
"HK3",0.37
"ZBTB48",0.46
"HLA-A",0.84
"HLA-B",0.83
"HLA-C",0.83
"HLA-DMA",0.65
"HLA-DMB",0.59
"MNX1",0.5
"HLA-DOA",0.51
"HLA-DOB",0.57
"HLA-DPA1",0.71
"HLA-DPB1",0.63
"HLA-DPB2",0.6
"HLA-DQA1",0.67
"HLA-DQA2",0.4
"HLA-DQB1",0.66
"HLA-DQB2",0.15
"HLA-DRA",0.68
"HLA-DRB1",0.72
"HLA-DRB2",0.11
"HLA-DRB3",0.54
"HLA-DRB4",0.51
"HLA-DRB5",0.64
"HLA-DRB6",0.45
"HLA-DRB7",0.11
"HLF",0.63
"HLA-DRB9",0.11
"HLA-E",0.75
"HLA-F",0.82
"HLA-G",0.79
"HLA-H",0.2
"HLA-J",0.77
"HLA-L",0.11
"MR1",0.65
"HLCS",0.58
"HLX",0.43
"HMBS",0.82
"HMGB1",0.86
"HMGB2",0.85
"HMGB3",0.9
"HMGN1",0.69
"HMGN2",0.69
"HMGCL",0.8
"HMGCR",0.82
"HMGCS1",0.79
"HMGCS2",0.59
"HMGA1",0.79
"HMMR",0.9
"HMOX1",0.75
"HMOX2",0.69
"NR4A1",0.68
"HMX1",0.39
"HMX2",0.43
"FOXA1",0.62
"FOXA2",0.4
"FOXA3",0.59
"HNF4A",0.66
"HNF4G",0.53
"ONECUT1",0.35
"HNMT",0.77
"SLC29A2",0.64
"HNRNPA1",0.82
"HNRNPA2B1",0.86
"HNRNPAB",0.84
"HNRNPC",0.94
"HNRNPD",0.86
"HNRNPF",0.73
"HNRNPH1",0.68
"HNRNPH2",0.67
"HNRNPH3",0.73
"HNRNPK",0.81
"HNRNPL",0.66
"HNRNPU",0.84
"TLX1",0.26
"TLX2",0.39
"HOXA1",0.53
"HOXA2",0.39
"HOXA3",0.6
"HOXA4",0.55
"HOXA5",0.69
"HOXA6",0.36
"HOXA7",0.69
"HOXA9",0.63
"HOXA10",0.63
"HOXA11",0.6
"HPCA",0.28
"HOXA13",0.72
"HOXB1",0.29
"HOXB2",0.59
"HOXB3",0.69
"HOXB4",0.53
"HOXB5",0.72
"HOXB6",0.5
"HOXB7",0.74
"HOXB8",0.52
"HOXB9",0.71
"HOXC4",0.31
"HOXC5",0.42
"HOXC6",0.64
"HOXC8",0.34
"HOXC9",0.7
"HOXC10",0.58
"HOXC11",0.46
"HOXC12",0.25
"HOXC13",0.45
"HOXD1",0.44
"HOXD3",0.56
"HOXD4",0.74
"HOXD8",0.82
"HOXD9",0.54
"HOXD10",0.7
"HOXD11",0.37
"HOXD12",0.33
"HOXD13",0.36
"HP",0.46
"HPCAL1",0.72
"HPD",0.39
"HPGD",0.64
"HPN",0.54
"HPR",0.3
"HPRT1",0.83
"HPS1",0.82
"HPX",0.43
"HRAS",0.78
"ERAS",0.22
"AGFG1",0.78
"AGFG2",0.59
"HRH1",0.59
"HRC",0.44
"HRES1",0.42
"HRG",0.64
"HRH2",0.27
"PRMT2",0.84
"PRMT1",0.77
"HES1",0.74
"HSBP1",0.7
"HSD3B1",0.62
"HSD3B2",0.38
"HSD11B1",0.76
"HSD11B2",0.58
"HSD17B1",0.57
"HSD17B3",0.41
"HSD17B2",0.68
"HSD17B4",0.69
"HSF1",0.62
"HSF2",0.6
"HSF4",0.41
"DNAJB2",0.66
"DNAJA1",0.81
"HSPA1A",0.71
"HSPA1B",0.71
"HSPA1L",0.73
"HSPA2",0.67
"HSPA4",0.84
"HSPA5",0.77
"HSPA6",0.6
"HSPA7",0.24
"HSPA8",0.86
"HSPA9",0.85
"HSPA8P1",0.1
"HSPB1",0.66
"HSPB2",0.67
"HSP90AA1",0.86
"IGSF3",0.8
"HSP90AA4P",0.12
"HSP90AA2P",0.15
"HSP90AB1",0.86
"HSP90AB3P",0.13
"HSPD1",0.87
"HSPD1P3",0.1
"HSPE1",0.86
"DNAJB1",0.85
"DNAJC4",0.8
"HSPG2",0.7
"NDST1",0.67
"FOXN2",0.67
"HTN1",0.21
"HTN3",0.5
"HTR1A",0.25
"HTR1B",0.34
"HTR1D",0.45
"HTR1E",0.36
"HTR1F",0.26
"HTR2A",0.63
"HTR2B",0.39
"HTR2C",0.54
"HTR3A",0.47
"HTR4",0.39
"HTR5A",0.26
"HTR6",0.56
"HTR7",0.61
"HUS1",0.68
"TNC",0.66
"HYAL1",0.59
"IAPP",0.35
"IARS",0.79
"IBSP",0.39
"ICA1",0.68
"ICAM1",0.77
"ICAM2",0.63
"ICAM3",0.64
"ICAM4",0.36
"IRF8",0.55
"ICT1",0.77
"ID1",0.89
"ID2",0.82
"ID3",0.77
"ID4",0.82
"IDE",0.83
"IDH1",0.77
"IDH2",0.73
"IDH3A",0.81
"IDH3B",0.7
"IDH3G",0.74
"IDI1",0.78
"IDS",0.78
"IDSP1",0.22
"IDUA",0.63
"CFI",0.67
"IFI16",0.82
"IFI27",0.83
"IFI35",0.8
"SP110",0.79
"IFIT2",0.72
"IFIT1",0.73
"IFIT3",0.82
"IFNA1",0.32
"IFNA2",0.38
"IFNA4",0.25
"IFNA5",0.35
"IFNA6",0.25
"IFNA7",0.24
"IFNA8",0.34
"IFNA10",0.26
"IFNA13",0.34
"IFNA14",0.4
"IFNA16",0.33
"IFNA17",0.48
"IFNA21",0.29
"IFNA22P",0.16
"IFNAR1",0.7
"IFNAR2",0.71
"IFNB1",0.34
"IFNG",0.43
"IFNGR1",0.83
"IFNGR2",0.8
"IFNW1",0.4
"IFRD1",0.75
"IGBP1",0.64
"IGF1",0.67
"IGF1R",0.81
"IGF2",0.67
"IGF2R",0.74
"IGFALS",0.2
"IGFBP1",0.62
"IGFBP2",0.7
"IGFBP3",0.73
"IGFBP4",0.82
"IGFBP5",0.79
"IGFBP6",0.83
"IGFBP7",0.69
"CYR61",0.83
"IGH",0.14
"IGHA1",0.32
"IGHA2",0.15
"IGHD",0.37
"IGHE",0.34
"IGHG1",0.59
"IGHG2",0.14
"IGHG3",0.38
"IGHG4",0.12
"IGHM",0.45
"IGHMBP2",0.74
"JCHAIN",0.39
"IGKC",0.68
"IGKDEL",0.11
"RBPJ",0.8
"IGKV3OR2-268",0.12
"IGKV1OR22-1",0.1
"IGKV1OR-2",0.13
"IGKV1OR-4",0.12
"IGL",0.72
"IGLC1",0.12
"IGLC2",0.1
"IGLC3",0.1
"IGLC6",0.31
"IGLL1",0.25
"IGLL2P",0.34
"IGLV@",0.48
"IGSF1",0.59
"IHH",0.59
"IK",0.85
"IKBKB",0.63
"IL1A",0.54
"IL1B",0.61
"IL1R1",0.8
"IL1RAP",0.72
"IL1RN",0.73
"IL2",0.38
"IL2RA",0.47
"IL2RB",0.45
"IL2RG",0.5
"IL3",0.37
"IL3RA",0.41
"IL4",0.57
"IL4R",0.77
"IL5",0.27
"IL5RA",0.57
"IL6",0.67
"IL6R",0.56
"IL6ST",0.82
"IL7",0.34
"IL7R",0.77
"CXCL8",0.8
"CXCR1",0.29
"IL9",0.27
"CXCR2",0.45
"CXCR2P1",0.14
"IL9R",0.61
"IL10",0.34
"IL10RA",0.56
"IL10RB",0.71
"IL11",0.58
"IL11RA",0.75
"IL12A",0.41
"IL12B",0.28
"IL12RB1",0.58
"IL12RB2",0.31
"IL13",0.36
"IL13RA1",0.7
"IL13RA2",0.53
"IL15",0.69
"IL15RA",0.66
"IL16",0.64
"TNFRSF9",0.53
"IL17A",0.33
"IL18",0.56
"FOXK2",0.73
"ILF2",0.9
"ILF3",0.84
"ILK",0.76
"IMPA1",0.71
"IMPA2",0.8
"IMPDH1",0.55
"IMPDH2",0.77
"IMPG1",0.27
"INCENP",0.33
"IDO1",0.55
"ING1",0.61
"ING2",0.54
"INHA",0.39
"INHBA",0.67
"INHBB",0.73
"INHBC",0.63
"CXCL10",0.56
"INPP1",0.72
"INS",0.28
"INPP4A",0.56
"INPP5A",0.68
"INPP5B",0.46
"INPP5D",0.55
"INPPL1",0.69
"INSIG1",0.72
"INSL3",0.32
"INSL4",0.53
"INSM1",0.47
"INSR",0.77
"INSRR",0.2
"EIF3E",0.88
"PDX1",0.43
"IPP",0.45
"IPW",0.58
"IRAK1",0.76
"ITGA6",0.86
"IRAK2",0.7
"IREB2",0.78
"IRF1",0.78
"IRF2",0.53
"IRF3",0.6
"IRF4",0.42
"IRF5",0.6
"IRF6",0.6
"IRF7",0.46
"IRS1",0.76
"ISG20",0.7
"ISL1",0.57
"ISLR",0.49
"ITGA1",0.56
"ITGA2",0.87
"ITGA2B",0.32
"ITGA3",0.75
"ITGA4",0.57
"ITGA5",0.76
"ITGA7",0.82
"ITGA9",0.71
"ITGAD",0.31
